,precision,recall,accuracy,rscore,mcc,threshold
0,1.0,0.6657970866405638,0.6657970866405638,,,0
1,0.008259431997466619,0.6552517766840109,0.98583296141021,0.6411439463607135,,50
2,0.011259057014838564,0.518312532463973,0.9917524995342377,0.5101498619794254,,100
3,0.012587150201783805,0.22845323073213214,0.9980521418024825,0.22658569944407744,,150
4,,0.0,0.9999911765158916,-2.019544040838078e-06,,200
5,,,1.0,,,250
